communityName,state,countyCode,communityCode,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,OwnOccQrange,RentLowQ,RentMedian,RentHighQ,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LemasSwornFT,LemasSwFTPerPop,LemasSwFTFieldOps,LemasSwFTFieldPerPop,LemasTotalReq,LemasTotReqPerPop,PolicReqPerOffic,PolicPerPop,RacialMatchCommPol,PctPolicWhite,PctPolicBlack,PctPolicHisp,PctPolicAsian,PctPolicMinor,OfficAssgnDrugUnits,NumKindsDrugsSeiz,PolicAveOTWorked,LandArea,PopDens,PctUsePubTrans,PolicCars,PolicOperBudg,LemasPctPolicOnPatr,LemasGangUnitDeploy,LemasPctOfficDrugUn,PolicBudgPerPop,murders,murdPerPop,rapes,rapesPerPop,robberies,robbbPerPop,assaults,assaultPerPop,burglaries,burglPerPop,larcenies,larcPerPop,autoTheft,autoTheftPerPop,arsons,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop,latitude,longitude
Marpletownship,PA,45,47616,23123,2.82,0.8,95.57,3.44,0.85,11.01,21.3,10.48,17.18,23123,100,47917,78.99,1.11,64.11,35.5,2.75,22.85,55323,20148,20191,18137,0,20074,5250,12222,885,3.98,5.61,13.72,29.89,2.43,61.96,12.26,29.28,6.39,37.64,4.23,27.99,6.45,5.42,3.11,86.91,85.33,96.82,86.46,51.14,62.43,43,0.24,1920,5.21,8.65,13.33,22.5,0.43,0.72,1.11,1.87,87.79,1.81,4.25,3.34,2.7,2.83,1.96,89.03,1.01,23.6,3,240,97.15,84.88,0,18.33,1958,0.31,0.14,136300,164200,199900,63600,467,560,672,205,627,27.6,20.7,12.5,0,0,8.3,77.17,71.27,90.22,96.12,,,,,,,,,,,,,,,,,,10.6,2186.7,3.84,,,,,0,,0,0,1,4.25,5,21.26,24,102.05,57,242.37,376,1598.78,26,110.55,1,4.25,127.56,1955.95,38.211327825,-87.896628375
Norwoodtown,MA,21,50250,28700,2.6,1.6,96.57,1.47,1.1,11.17,27.41,12.76,14.42,28700,100,42805,79.47,0.39,47.7,30.23,5.41,17.23,50394,18193,18276,17342,21482,12639,21852,22594,1126,4.01,4.49,13.89,27.01,4.85,65.42,14.02,27.17,8.5,32.78,5.97,36.05,9.06,7.64,3.14,79.53,79.76,92.05,77.12,65.16,72.81,263,1.18,2637,11.38,16.27,23.93,27.76,1.05,1.49,2.2,2.55,89.98,0.6,5.08,3.46,2.55,2.89,2.09,64.62,1.47,47.35,3,566,95.11,56.96,1.41,34.45,1956,0.69,0.28,155100,179000,215500,60400,463,669,824,361,736,24.4,20.8,12.5,0,0,9.19,77.3,63.45,82.23,93.53,,,,,,,,,,,,,,,,,,10.9,2643.5,9.62,,,,,0,,0,0,4,13.53,9,30.44,54,182.66,110,372.09,288,974.19,144,487.1,17,57.5,226.63,1890.88,41.50203090449438,-94.32471233370786
NewUlmcity,MN,15,46042,13132,2.53,0.06,99.21,0.47,0.59,14,25.03,12.83,14.57,0,0,25797,73.95,2.53,56.06,34.35,6.6,12.89,32055,11907,11961,0,9097,5646,0,1810,863,6.84,16.28,25.41,15.31,3.67,65.62,27.69,20.11,22.67,21.74,6.08,27.56,8.37,7.32,3.04,79.99,81.44,87.19,85.51,81.24,85.52,100,0.87,119,13.45,17.65,26.05,26.05,0.12,0.16,0.24,0.24,91.11,0.42,3.61,2.46,2.43,2.62,1.88,80.28,0.94,38.26,3,180,96.65,74.48,0,40.56,1956,1.5,0.65,39700,53200,68900,29200,171,232,303,132,293,24.9,15.8,11.5,0,0,0.91,83.77,61.36,80.63,93.19,,,,,,,,,,,,,,,,,,8.9,1481.2,0.08,,,,,0,,0,0,,,0,0,9,65.82,67,489.98,283,2069.62,21,153.58,1,7.31,,2720.49,39.9826183,-86.0658918
Enfieldtown,CT,3,25990,45532,2.85,2.65,95.72,1.04,2.28,11.86,27.51,12.36,9.76,43944,96.51,44635,84.94,0.71,50.24,24.74,3.78,18.37,48757,16723,17014,8297,13171,12425,10337,11655,1262,2.89,6.55,21.62,17.59,4.01,68.24,26.12,16.06,13.94,24.73,7.02,32.45,9.76,8.38,3.13,81.96,79.92,91.04,80.39,63.59,75.19,413,1.3,2377,9.38,11.7,17.12,27.01,0.49,0.61,0.89,1.41,90.41,0.92,4.08,3.15,2.73,2.86,2.29,79.94,1.23,32.43,3,629,96.21,76.15,0.16,29.89,1960,0.89,0.13,128000,143400,164700,36700,394,563,676,282,668,24.8,22.6,13.1,8,1,5.22,47.43,60.3,83.68,88.85,,,,,,,,,,,,,,,,,,34.6,1314.3,1.28,,,,,0,,1,2.19,0,0,23,50.46,17,37.29,282,618.62,906,1987.5,232,508.94,7,15.36,89.94,3130.42,37.8352097,-81.2013337
Pontiaccity,MI,125,65440,71166,2.87,42.2,51.25,1.36,8.01,16.56,32.21,16.08,7.82,71166,100,21962,72.63,0.11,20.23,23.85,22.07,16.66,25834,9847,10927,8937,5787,5723,7811,7537,18222,26.67,12.04,37.61,7.95,14.4,51.07,26.9,23.36,24.49,14.34,15.75,42.09,19.81,17.89,3.34,46.61,41.73,48.83,52.16,53.63,59.61,7538,12.73,1641,11.7,14.75,21.88,32.78,0.27,0.34,0.5,0.76,91.4,1.35,9.52,6.52,2.76,2.91,2.61,52.36,6.93,55.71,2,1816,93.17,49.73,12.83,37.78,1954,8.97,0.46,27800,36300,45700,17900,257,362,448,191,436,30.5,17.2,14,132,3,2.31,66.2,51.8,86.51,92.67,159,228.21,144,206.68,78506,112677.8,493.7,228.2,80.81,70.44,23.27,6.29,0,29.56,17,11,268.6,20.7,3434.7,0.9,81,14569244,90.57,10,10.69,209108.91,19,27.27,,,423,607.12,1420,2038.09,1470,2109.86,1964,2818.88,874,1254.43,60,86.12,,6269.29,37.624841,-91.199428
Suffolkcity,VA,800,76432,52141,2.82,44.58,54.68,0.38,0.61,13.7,25.39,11.57,11.94,39076,74.94,26125,75.62,1.98,29.04,28.99,10.49,18.76,31379,11831,15673,6978,13860,34126,7087,14522,8864,17.28,17.59,36.09,12.26,7.06,57.9,21.98,22.32,19.26,22.3,9.99,27.96,11.88,11,3.21,67.53,59.27,73.73,67.93,62.31,70.29,3651,8.21,433,10.62,16.63,32.33,38.8,0.09,0.14,0.27,0.32,97.01,0.31,6.44,4.99,2.78,2.8,2.73,68.27,3.41,34.4,3,1495,92.53,67.75,9.83,47.22,1967,10.47,4.04,48700,70700,99400,50700,157,250,355,198,376,28.7,22.4,14.3,0,10,0.83,74.77,59.38,80.79,93.24,,,,,,,,,,,,,,,,,,414.5,125.8,1.63,,,,,0,,9,16.22,37,66.7,160,288.42,304,547.99,646,1164.49,1974,3558.36,254,457.86,26,46.87,919.33,5227.58,31.811477796,-98.80001612000001
Martinsvillecity,VA,690,49784,16162,2.36,36.84,62.7,0.2,0.37,12.16,22.94,10.7,17.94,0,0,22446,70.6,0.51,35.91,36.51,8.64,16.7,29604,13742,17197,7929,49823,9822,15000,4595,2504,15.61,18.52,37.05,15.82,5.68,57.4,43.8,18.11,30.35,23.08,11.15,28.44,15.14,13.39,2.95,59.28,53.26,53.45,64.04,70.45,77.01,1100,7.8,142,4.23,4.23,38.03,45.07,0.04,0.04,0.33,0.4,96.59,0.51,4.18,2.76,2.35,2.44,2.2,63.12,2.44,47.1,3,471,93.56,60.67,5.52,47.35,1959,6.58,0.52,37000,52700,84400,47400,183,255,317,134,320,23.7,18.9,13.2,17,3,0.88,74.95,61.23,81.36,92.68,,,,,,,,,,,,,,,,,,11.4,1423.7,0,,,,,0,,2,12.52,7,43.81,22,137.7,78,488.2,164,1026.48,980,6133.82,54,337.99,9,56.33,682.23,7554.61,46.2581609,-84.4526829
Hastingscity,MN,37,27530,15440,2.86,0.31,98.63,0.64,0.49,13.92,27.4,12.29,8.39,0,0,36091,84.9,0.81,47.33,22.69,3.41,12.51,41312,14482,14580,6426,4444,7238,1043,7344,746,5,7.84,18.63,16.75,5.18,69.13,24.87,21.76,18.97,19.55,8.72,29.13,10.57,9.66,3.22,79.12,79.48,92.03,76.62,75.41,80.26,177,1.42,158,25.32,25.32,32.91,32.91,0.26,0.26,0.34,0.34,96.83,0.61,4.2,3.17,2.76,2.98,2.17,78.24,1.63,37.23,3,144,97.4,72.34,0.69,20.83,1968,1.44,0.22,69500,83700,97400,27900,344,408,454,110,442,27.2,20.9,11.3,0,0,1.02,76.9,51.79,80.72,91.57,,,,,,,,,,,,,,,,,,9.4,1641.9,1.69,,,,,0,,0,0,,,2,12.1,16,96.82,120,726.17,369,2232.98,40,242.06,1,6.05,,3207.26,35.38828745691221,-78.01551920100908
UniversityHeightscity,OH,35,78932,14790,2.87,16.34,81.75,1.53,1,20.62,30.27,20.39,14.02,14790,100,43376,76.55,0.61,65.12,33.47,2.47,12.64,51327,18705,19456,16183,10271,14356,4675,12395,373,2.9,3.26,9.16,47,4.65,60.44,10.93,42.35,4.23,44.99,4.4,36.71,7.76,6.2,2.99,83.94,83.27,88.68,79.48,68.29,75.55,208,2.22,1522,7.16,12.29,17.41,20.7,0.74,1.26,1.79,2.13,88.61,0.8,3.36,2.43,2.5,2.71,1.8,83.68,0.56,22.15,3,135,97.45,77.25,0,42.96,1948,0.21,0,75900,90400,111900,36000,411,482,586,175,559,27.5,18.9,13.5,0,0,10.29,62.7,53.8,78.85,86.92,,,,,,,,,,,,,,,,,,1.9,7812.2,5.81,,,,,0,,0,0,2,13.97,14,97.77,18,125.71,62,432.99,186,1298.97,31,216.5,0,0,237.45,1948.46,30.133183280645163,-96.69059373870968
Springfieldtownship,OH,23,74119,13352,2.82,2.55,97.01,0.28,0.36,13.91,21.82,10.96,14.84,9827,73.6,32713,73.7,1.76,46.04,32.15,5.23,24.43,36199,14243,13832,12981,5114,106165,4091,5742,1116,8.79,8.16,25.83,13.65,5.41,55.46,24.72,22.89,17.76,27.61,7.8,22.04,9.11,8.48,3.02,82.16,77.61,83.46,74.35,68.08,72.52,125,1.16,130,3.85,3.85,11.54,11.54,0.04,0.04,0.11,0.11,97.24,0.48,3.26,2.66,2.69,2.72,2.51,83.85,1.2,32.59,3,132,97.29,82.69,2.27,40.91,1957,2.3,1.35,46700,66300,90100,43400,158,248,322,164,341,24.3,16.9,12.1,4,0,0.97,79.97,63.34,91.08,95.84,,,,,,,,,,,,,,,,,,36.1,369.6,0.2,,,,,0,,0,0,15,37.91,38,96.04,126,318.45,324,818.86,968,2446.48,36,90.98,13,32.86,452.4,3389.19,36.14503444852459,-95.98949107311475
