communityName,state,countyCode,communityCode,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,OwnOccQrange,RentLowQ,RentMedian,RentHighQ,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LemasSwornFT,LemasSwFTPerPop,LemasSwFTFieldOps,LemasSwFTFieldPerPop,LemasTotalReq,LemasTotReqPerPop,PolicReqPerOffic,PolicPerPop,RacialMatchCommPol,PctPolicWhite,PctPolicBlack,PctPolicHisp,PctPolicAsian,PctPolicMinor,OfficAssgnDrugUnits,NumKindsDrugsSeiz,PolicAveOTWorked,LandArea,PopDens,PctUsePubTrans,PolicCars,PolicOperBudg,LemasPctPolicOnPatr,LemasGangUnitDeploy,LemasPctOfficDrugUn,PolicBudgPerPop,murders,murdPerPop,rapes,rapesPerPop,robberies,robbbPerPop,assaults,assaultPerPop,burglaries,burglPerPop,larcenies,larcPerPop,autoTheft,autoTheftPerPop,arsons,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop
Suffolkcity,VA,800,76432,52141,2.82,44.58,54.68,0.38,0.61,13.7,25.39,11.57,11.94,39076,74.94,26125,75.62,1.98,29.04,28.99,10.49,18.76,31379,11831,15673,6978,13860,34126,7087,14522,8864,17.28,17.59,36.09,12.26,7.06,57.9,21.98,22.32,19.26,22.3,9.99,27.96,11.88,11,3.21,67.53,59.27,73.73,67.93,62.31,70.29,3651,8.21,433,10.62,16.63,32.33,38.8,0.09,0.14,0.27,0.32,97.01,0.31,6.44,4.99,2.78,2.8,2.73,68.27,3.41,34.4,3,1495,92.53,67.75,9.83,47.22,1967,10.47,4.04,48700,70700,99400,50700,157,250,355,198,376,28.7,22.4,14.3,0,10,0.83,74.77,59.38,80.79,93.24,,,,,,,,,,,,,,,,,,414.5,125.8,1.63,,,,,0,,,,,,,,,,,,1974,3558.36,254,457.86,26,46.87,919.33,5227.58
Martinsvillecity,VA,690,49784,16162,2.36,36.84,62.7,0.2,0.37,12.16,22.94,10.7,17.94,0,0,22446,70.6,0.51,35.91,36.51,8.64,16.7,29604,13742,17197,7929,49823,9822,15000,4595,2504,15.61,18.52,37.05,15.82,5.68,57.4,43.8,18.11,30.35,23.08,11.15,28.44,15.14,13.39,2.95,59.28,53.26,53.45,64.04,70.45,77.01,1100,7.8,142,4.23,4.23,38.03,45.07,0.04,0.04,0.33,0.4,96.59,0.51,4.18,2.76,2.35,2.44,2.2,63.12,2.44,47.1,3,471,93.56,60.67,5.52,47.35,1959,6.58,0.52,37000,52700,84400,47400,183,255,317,134,320,23.7,18.9,13.2,17,3,0.88,74.95,61.23,81.36,92.68,,,,,,,,,,,,,,,,,,11.4,1423.7,0,,,,,0,,,,,,,,,,,,980,6133.82,54,337.99,9,56.33,682.23,7554.61
Lynchburgcity,VA,680,47672,66049,2.63,26.41,72.45,0.76,0.72,17.79,29.84,18.19,14.33,66049,100,23726,72.25,0.63,39.06,35.02,7.54,17.2,30141,12657,14721,7200,12833,6139,8400,7231,9889,16.45,13.61,30.52,21.74,5.97,56.27,19.31,31.2,14.92,27.39,9.43,34.52,12.67,11.25,2.98,64,59.7,69.62,69.8,63.78,72.3,2858,5.88,1108,30.69,43.05,47.02,50.54,0.51,0.72,0.79,0.85,96.8,0.35,3.95,2.64,2.39,2.52,2.21,61.35,1.83,47.28,3,2090,92.33,58.2,4.31,40.48,1960,7.07,0.29,38200,56900,80300,42100,179,272,353,174,346,24.7,16.9,12.6,47,0,1.68,70.07,52.6,73.84,86.06,138,205.48,123,183.14,61164,91072.1,443.2,205.5,81.87,90.58,9.42,0,0,9.42,8,8,38.7,51.2,1290.5,3.33,62,5585480,89.13,0,5.8,83166.8,,,,,,,,,,,2316,3448.48,184,273.97,50,74.45,753.42,4630.73
Manassascity,VA,683,48952,27957,2.95,10.33,83.46,3.1,5.73,13.21,31.92,14.16,4.39,27957,100,46674,92.92,0.47,41.6,9.66,3.24,11.41,51045,18554,19553,13169,31782,14049,11564,14063,1028,3.79,6.16,15.79,25.82,3.3,77.22,6.84,18.85,10.09,32.1,9.75,29.75,12.3,11,3.27,81.33,79.06,88.45,79.22,65.68,74.66,474,2.8,2129,12.54,28.79,41.94,58.85,0.96,2.19,3.19,4.48,89.45,2.59,6.1,4.66,2.88,2.95,2.74,67.75,3.13,32.6,3,751,92.66,66.11,1.46,21.3,1981,4.11,0.51,116600,150700,185400,68800,522,603,693,171,695,25.5,25.3,13.7,7,0,7.62,37.57,29.6,47.71,74.55,,,,,,,,,,,,,,,,,,10.4,2695.4,1,,,,,0,,,,,,,,,,,,1067,3314.39,86,267.14,6,18.64,301.31,4038.14
Fredericksburgcity,VA,630,29744,19027,2.55,21.63,76.04,1.08,2.43,20.99,38.98,25.15,12.07,19027,100,26614,78.27,0.48,37.01,28.61,5.7,14.93,33353,13825,15390,9103,10031,6877,6980,9942,2049,12.29,11.51,26.25,26.07,3.32,61.46,7.18,26.58,12.17,28.31,12.35,40.56,13.4,12.93,2.91,62.35,58.27,74.79,65.39,65.1,74.18,790,6.71,550,28.36,33.82,42.73,55.27,0.82,0.98,1.24,1.6,95.38,1.04,4.3,2.47,2.24,2.41,2.13,40.13,2.71,62.83,2,613,92.4,37.3,3.43,22.02,1964,8.78,0.42,78000,104900,157500,79500,363,461,523,160,530,27.2,20.6,12.4,13,60,2.89,58.25,40.95,53.34,82.58,,,,,,,,,,,,,,,,,,10.9,1746.9,2.15,,,,,0,,,,,,,,,,,,631,2819.1,32,142.97,12,53.61,446.77,3471.38
Viennatown,VA,,,14852,2.8,4.11,84.71,9.27,4.78,11.38,23.72,11.04,9.57,14852,100,61271,86.77,0.82,67.04,17.14,1.57,22.9,64560,23729,25363,17242,23261,13022,16098,15802,459,3.1,4.44,10.16,45.16,2.5,72.97,4.65,26.07,4.29,45.8,7.41,30.42,9.6,8.51,3.1,85,81.76,94.34,84.46,60.14,74.87,141,1.38,2310,31.86,38.92,49.18,58.27,4.96,6.05,7.65,9.06,79.61,4.69,5.01,3.92,2.79,2.74,2.99,79.65,3.15,14.78,3,164,97,81.02,1.83,28.66,1962,0.32,0,180700,208600,255100,74400,660,759,1001,341,930,27.1,22.2,11.9,0,0,15.55,23.6,55.7,70.32,77.68,,,,,,,,,,,,,,,,,,,3285.8,8.94,,,,,0,,,,,,,,,,,,379,2376.77,24,150.51,4,25.08,94.07,2966.26
ColonialHeightscity,VA,570,18448,16064,2.52,0.8,96.5,2.2,1,13.47,23.87,12.09,14.2,16064,100,34472,76.74,0.62,48.61,30.24,3.08,25.57,40929,15639,15702,9256,0,15658,6858,9323,905,5.71,8.71,22.19,16.69,3.93,63.21,16.23,20.39,11.62,26.65,8.68,23.59,12.48,10.73,2.93,77.6,74.85,92.57,76.38,70.63,74.09,83,0.66,670,7.61,9.25,20.3,22.99,0.32,0.39,0.85,0.96,93.63,0.46,2,1.49,2.49,2.54,2.35,73.68,0.88,31.9,3,229,96.53,72.15,0.44,25.76,1963,2.84,0.17,54000,71000,95300,41300,306,368,427,121,458,23.3,17.7,12.8,19,0,4.17,60.42,58.53,73.83,88.66,,,,,,,,,,,,,,,,,,,2077.6,0.3,,,,,0,,,,,,,,,,,,718,4322.18,43,258.85,1,6.02,234.77,5116.78
Charlottesvilledistrict,VA,3,90672,13057,2.34,12.12,84.99,2.44,1.36,10.97,28.88,12.68,9.37,11846,91,37025,86.01,0.42,52.78,17.73,3.09,15.05,43833,18251,19229,11735,0,17121,240,6270,829,6.51,4.48,11.12,44.09,3.2,70.98,10.79,38.58,5.18,40.96,8.74,29.28,14.78,12.09,2.88,70.45,73.04,81.56,83.12,66.3,75.87,279,3.68,409,22.25,31.78,33.5,34.96,0.7,1,1.05,1.1,97.33,0.24,1.98,1.22,2.29,2.56,2.06,52.19,1.17,49.22,3,341,94.23,46.87,0,9.97,1977,1.58,0.14,91100,119300,154900,63800,428,481,535,107,562,24.4,20.6,10.4,0,0,3.14,47.69,32.33,47.49,77.19,,,,,,,,,,,,,,,,,,,1046.9,2.21,,,,,0,,,,,,,,,,,,1934,4697.25,149,361.89,15,36.43,699.49,6028.22
NewportNewscity,VA,700,56000,170045,2.66,33.57,62.58,2.33,2.77,13.82,31.25,14.76,8.59,170045,100,27469,82.66,0.3,32.82,19.97,7.74,17.48,31180,12711,15351,8154,11662,8806,9760,9523,23169,14.04,6.89,20.66,18.44,5.93,65.93,20.19,21.72,13.07,26.41,10.56,29.87,14.95,12.83,3.08,68.16,64.41,76.03,69.14,58.43,66.56,7374,6.41,6932,12.97,21.49,31.06,39.27,0.53,0.88,1.27,1.6,93.02,0.79,3.94,2.83,2.59,2.69,2.49,51.93,3.58,47.5,3,5776,91.72,50.03,3.83,33.24,1969,7.26,0.31,68000,85200,103800,35800,282,368,454,172,439,26.2,22.7,13,96,39,4.08,46.43,41.39,62.84,75.27,263,145.36,236,130.44,121431,67114.9,461.7,145.4,79.69,82.89,15.97,0.76,0.38,17.11,21,9,,,2401.8,2.9,194,14212889,89.73,10,7.98,78554.6,,,,,,,,,,,7267,4016.47,684,378.05,63,34.82,845.63,5590.56
Harrisonburgcity,VA,660,35624,30707,2.98,6.57,91.08,1.53,1.57,32.51,49.78,38.78,9.14,0,0,25312,82.24,0.88,45.61,22.46,5.54,11.2,32377,11607,12054,7515,10946,5529,5375,4736,5277,21.46,10.3,23.15,28.68,4.6,56,15.46,30.46,13.25,29.18,7.07,53.24,9.04,8.14,2.85,70.48,68.82,78.74,77.94,63.52,71.42,602,4.02,740,34.05,45.14,53.11,61.76,0.82,1.09,1.28,1.49,94.88,0.97,2.73,1.95,2.4,2.49,2.33,43.8,1.25,46.29,3,590,94.59,42.12,1.02,25.59,1973,6.02,0.15,67200,89300,122800,55600,256,341,438,182,410,25.9,21.3,11.6,2,0,2.41,54.91,32.52,47.29,80.69,,,,,,,,,,,,,,,,,,,1687.6,2.01,,,,,0,,,,,,,,,,,,1214,3612.99,44,130.95,9,26.78,151.78,4264.75
